序号,类型,题干,A,B,C,D,正确答案
1,单选,"HTML语言中,插入图象的HTML代码是<img src="""">,其中src的含义是（  ）",链接的地址,图象的路径,所插入图象的属性,以上都正确,B
2,单选,"在HTML代码中,给表格添加行的标记是。（  ）",<TR></TR>,<TD></TD>,<TH></TH>,以上都正确,A
3,单选,（  ）能够定义列表的项目符号为实心矩形。,list-type:square,type:2,type:square,list-style-type:circle,A
4,单选,"代码：.st1215{font-family:""宋体"";font-size:12px;line-height:1.5;}使用了""类""来设置文字样式，在页面中引用该样式的命令语句为（  ）","class=""st1215"" ",".class="".st1215""","id=""st1215""","id=""#st1215""",A
5,单选,下列哪个属性能够设置盒子模型的边界（  ）,margin:,indent:,margin-left:,text-indent: ,A
6,单选,"<a href=""#bn"">...</a>,表示（  ）"," 跳转到 ""bn ""页面","跳转到页面的  ""bn""锚点","超链接的属性是""bn """," 超链接的对象是""bn""",B
7,单选,"<a href=""hello.html#top"">...</a>,表示（  ）"," 跳转到 ""hello.html ""页面的顶部"," 跳转到 ""hello.html""页面的 ""top""锚点","跳转到 ""hello.html""页面的底部"," 跳转到 ""hello.html""页面的文字""top""所在链接",B
8,单选,"<a href=URL target=_blank>..</a>,表示（  ）","链接到 ""balnk""的超链接代码 ",在本窗口中打开的超链接代码 ,打开一个空窗口的超链接代码 , 新开一个窗口的超链接代码,D
9,单选,"<a href=URL target=_left>..</a>,表示（  ）",在框架页中的主框架中打开链接,在框架页中的左面框架中打开链接,在整个框架页中打开链接, 在本窗口打开超链接,B
10,单选,"<a href=URL target=_parent>..</a>,表示（  ）",打开一个空窗口的超链接代码,在父窗口打开超链接的代码 ,新开一个窗口的超链接代码,在本窗口中打开一个超链接的代码,B
11,单选,"<a href=URL target=_self>..</a>,表示（  ）", 打开一个空窗口的超链接代码,新开一个窗口的超链接代码 ,在父窗口打开超链接的代码 , 在本窗口打开超链接的代码,D
12,单选,"<a href=URL target=_top>..</a>,表示（  ）",在框架页中的主框架中打开链接  ,在框架页中的上面框架中打开链接,在整个框架页中打开链接,在本窗口打开超链接,B
13,单选,"<body leftmargin=？>,表示（  ）",页面左边的表格大小, 页面左边的空白大小,页面左边的可用区域大小 , 页面左边的可编辑区域大小,B
14,单选,<body topmargin=？>，表示（  ）,页面上边的表格大小,页面上边的空白大小,页面上边的可用区域大小  ,页面上边的可编辑区域大小,B
15,单选,<frame marginwidth=#>表示（  ）,框架页面边框高度,框架页面边框宽度,框架页面空白高度, 框架页面空白宽度,D
16,多选,CSS文本属性中，文本对齐属性的取值有（  ）,auto,justify,center,right/left,ABCD
17,单选,CSS样式表不可能实现（  ）功能。,将格式和结构分离,一个  CSS文件控制多个网页,控制图片的精确位置,兼容所有的浏览器 ,D
18,多选,CSS中盒模型的属性包括（  ）,font,margin,padding,visible,ABCD
19,多选,CSS中的BOX的padding属性包括的属性有（  ）, 填充,上填充,底填充,左填充,BCD
20,多选,CSS中的选择器包括（  ）, 超文本标记选择器,类选择器,标签选择器,ID  选择器,ABCD
21,多选,表格标记的基本结构是（  ）,<tr></tr>,<br></br>,<table ></table>,<bg></bg>,AC
22,多选,表格的表注的HTML是（  ）,<tbody> ... </tbody> ,<tfoot> ... </tfoot>,<thead> ... </thead>  ,<caption> ... </caption>,ABCD
23,多选,常用的网页图像格式有（  ）和（  ）.,gif, jpg,pic,png,ABD
