序号,类型,题干,A,B,C,D,答案
1,单选题,第三次信息技术革命指的是（ ）。 ,互联网 ,物联网 ,智慧地球 ,感知中国 , B
2,单选题,（ ）不属于因特网的组成部分？ ,终端 ,起始端 ,通信链路 ,交换设备 , B
3,单选题,IAAS是（ ）的简称。 ,软件即服务 ,平台即服务 ,基础设施即服务 ,硬件即服务 , C
4,单选题,无人机按（ ）分为军用无人机和民用无人机。 ,用途 ,平台构型 ,空机质量 ,活动半径 , A
5,单选题,以下（ ）不属于5G的特点。 ,高速率 ,低时延 ,海量连接 ,高功率 , D
6,单选题,1909年老斯佩里研发了飞行器（ ）。 ,自驾仪 ,陀螺仪 ,加速计 ,气压传感器 , B
7,单选题,单位时间内网络成功交付的数据量属于网络性能中的（ ）。 ,延迟 ,丢包率 ,吞吐量 ,交付率 , C
8,单选题,在位置隐私保护案例中，对单个用户，模糊范围，使用“附近”来描述用户位置，这种方法是（ ）。 ,K-匿名 ,数据混淆 ,哈希锁 ,GDPR, B
9,单选题,下列哪一项不属于物联网十大应用范畴？（ ） ,智能电网 ,医疗健康 ,智能通信 ,金融与服务业 , C
10,单选题,（ ）不属于5G的特有技术。 ,大规模天线 ,全双工 ,毫米波 ,时分复用 , D
11,单选题,微软于2008年10月推出云计算操作系统是（ ）。 ,GoogleAppEngine,蓝云 ,Windows Azure,EC2, C
12,单选题,以下哪项不是GreenOrbs绿野千传系统的应用（ ）。 ,郁闭度测量 ,森林火险预警监测 ,碳汇碳排放监测 ,火山地震监测 , D
13,单选题,广域网无线通信也称远距离无线通信，一般意义上，只要通信收发双方通过无线电波传输信息，单跳传输距离限制在（ ）以上的范围内，就可以称为广域网无线通信。 ,几十米 ,几百米 ,几千米 ,几万米 , B
14,单选题,一般来说，如果不存在公共时钟，测量设备A到锚点设备B的信号到达时间ToA需要几次设备间通信？（ ） ,1次 ,2次 ,3次 ,4次 , B
15,单选题,信息传输是物联网的哪一层的主要功能？（ ） ,感知识别层 ,网络构建层 ,管理服务层 ,综合应用层 , B
16,单选题,开源硬件设计主要开放的详细信息是（ ）。 ,电路原理图 ,材料清单 ,电路板布局数据 ,以上都是 , D
17,单选题,在RFID安全问题中，攻击者阅读器与原RFID网络的阅读器和标签分别建立连接，然后拦截，修改和发送数据，对会话进行劫持，这是哪种攻击方式？ ,中间人攻击 ,拒绝服务攻击 ,RFID病毒 ,物理破解标签 , A
18,单选题,集成于TinyOS中，使用最为广泛的路由协议的名称是（ ）。 ,HTTP,CTP,RTP,FTSP, B
19,单选题,为了架设WeB服务器，我们可以使用（ ）。 ,MySQL,JSP,Ngix,SpringMVC, C
20,单选题,下列哪些不属于连接终端到边缘路由器的接入方法？（ ） ,住宅接入 ,企业接入 ,网络接入 ,移动接入 , C
21,单选题,物联网典型的行业应用领域不包括哪项？（ ） ,智能农业 ,智能交通 ,智能手机 ,智能医疗 , C
22,单选题,以下不属于开源硬件的是（ ）。 ,RAspBerry PI,Arduino,iPAd,BeAgleBone, C
23,单选题,网络传输是（ ）系统的重要组成，它为感知识别层的数据提供可靠网络传输，为管理平台层的信息提供交换共享。 ,无线通信 ,应用层 ,物联网 ,数据链路层 , C
24,单选题,以下对开源硬件树莓派的描述，哪一项是不正确的？（ ） ,是一种迷你电脑 ,可以进行文字编辑 ,能够播放视频图 ,没有输入输出硬件接口 , D
25,单选题,除了JAvA以外，Android Studio还可以使用（ ）作为开发App的语言。 ,Python,Swift,Kotlin,OBject-C, C
26,单选题,物联网的核心是（ ）。 ,应用 ,产业 ,技术 ,标准 , A
27,单选题,物联网的概念最早是谁提出来的。（ ） ,中国 ,日本 ,美国 ,英国 , C
28,单选题,以下说法错误的是（ ）。 ,802.11n协议中使用的5GHz频段覆盖范围较小，一般用在室内环境 ,OFDM技术的使用很大程度上提高了802.11的传输带宽 ,802.11的网络架构中存在基站和自组织两种模式 ,802.11协议使用带冲突检测的载波监听多路访问（CSMA/CD） , D
29,单选题,以下哪个不属于无线通信的特点（ ）。 ,同频信号干扰 ,频率多为免费频段 ,多径传输 ,信号强度衰减 , B
30,单选题,将平台作为服务的云计算服务类型是（ ）。,IAAS,PAAS,SAAS,以上都是 , B
31,多选题,数学模型建立过程中可能涉及到的环节有（ ）。,问题的抽象简化 ,数学模型的假设 ,模型的分析与建立 ,模型的求解与检验 , ABCD
32,多选题,以下通信技术/网络协议标准，可用于物联网的有哪些？,WiFi ,蓝牙 ,ZigBee,可见光通信 , ABCD
33,多选题,关于物联网工程专业，以下表述正确的是（ ）。,物联网工程专业培养具备物联网基础知识和一定实践能力的物联网技术人员 ,物联网工程专业的学制一般为4年，授予工学学士学位 ,物联网工程专业归属工学计算机类 ,物联网工程专业是我国教育部2010年新设置的战略性新兴产业相关专业 , ABCD
34,多选题,请选出以下选项中属于无线传感网的研究项目/应用系统( )。,VigilNet ,GreenOrbs绿野千传 ,Mercury,ImageNet, ABC
35,多选题,以下通信技术/网络协议标准，可用于物联网的有哪些？,移动通信(4G/5G) ,WiFi,蓝牙 ,ZigBee, ABCD
36,多选题,在阅读器标签通信过程中，可能出现哪些时隙（ ）。,空闲时隙 ,冲突时隙 ,加密时隙 ,正常时隙 , ABD
37,多选题,以下属于LPWAN技术的是（ ）。,SIGFOX ,LorA,CDMA,NB-IoT, ABD
